,Player,Position,Date,Market Name,Line,Site Less,Site More,Player_Slug,PLAYER_NAME,PLAYER_ID
229,Clint Capela,C,2/29/2024,Steals,0.5,-145,-115,clint-capela,Clint Capela,203991
230,Clint Capela,C,2/29/2024,PTS+REB+AST,20.5,-118,-143,clint-capela,Clint Capela,203991
231,Clint Capela,C,2/29/2024,Assists,0.5,-134,-125,clint-capela,Clint Capela,203991
232,Clint Capela,C,3/5/2024,Assists,0.5,-122,-137,clint-capela,Clint Capela,203991
233,Clint Capela,C,3/5/2024,PTS+REB+AST,19.5,-118,-143,clint-capela,Clint Capela,203991
234,Clint Capela,C,3/5/2024,Rebounds,9.5,-115,-145,clint-capela,Clint Capela,203991
235,Clint Capela,C,3/5/2024,Points,9.5,-143,-118,clint-capela,Clint Capela,203991
236,Clint Capela,C,3/6/2024,PTS+REB+AST,20.5,-127,-132,clint-capela,Clint Capela,203991
237,Clint Capela,C,3/6/2024,Points,10.5,-148,-114,clint-capela,Clint Capela,203991
238,Clint Capela,C,3/6/2024,Rebounds,9.5,-148,-114,clint-capela,Clint Capela,203991
239,Clint Capela,C,3/8/2024,Blocks,1.5,-150,-113,clint-capela,Clint Capela,203991
240,Clint Capela,C,3/8/2024,Steals,0.5,-115,-145,clint-capela,Clint Capela,203991
241,Clint Capela,C,3/8/2024,Points,10.5,-120,-141,clint-capela,Clint Capela,203991
242,Clint Capela,C,3/8/2024,PTS+REB+AST,22.5,-117,-145,clint-capela,Clint Capela,203991
243,Clint Capela,C,3/10/2024,Rebounds,9.5,-117,-145,clint-capela,Clint Capela,203991
244,Clint Capela,C,3/10/2024,PTS+REB+AST,22.5,-121,-139,clint-capela,Clint Capela,203991
245,Clint Capela,C,3/10/2024,Points,11.5,-124,-136,clint-capela,Clint Capela,203991
246,Clint Capela,C,3/13/2024,Points,12.5,-130,-129,clint-capela,Clint Capela,203991
247,Clint Capela,C,3/13/2024,PTS+REB+AST,25.5,-125,-136,clint-capela,Clint Capela,203991
248,Clint Capela,C,3/13/2024,Steals,0.5,-139,-121,clint-capela,Clint Capela,203991
249,Clint Capela,C,3/13/2024,Rebounds,11.5,-125,-136,clint-capela,Clint Capela,203991
250,Clint Capela,C,3/15/2024,Steals,0.5,-115,-148,clint-capela,Clint Capela,203991
251,Clint Capela,C,3/15/2024,PTS+REB+AST,25.5,-136,-124,clint-capela,Clint Capela,203991
252,Clint Capela,C,3/15/2024,Points,12.5,-120,-141,clint-capela,Clint Capela,203991
253,Clint Capela,C,3/17/2024,PTS+REB+AST,24.5,-124,-136,clint-capela,Clint Capela,203991
254,Clint Capela,C,3/17/2024,Rebounds,11.5,-145,-115,clint-capela,Clint Capela,203991
255,Clint Capela,C,3/30/2024,PTS+REB+AST,23.5,-122,-139,clint-capela,Clint Capela,203991
256,Clint Capela,C,3/30/2024,Points,11.5,-134,-125,clint-capela,Clint Capela,203991
257,Clint Capela,C,3/30/2024,Steals,0.5,-139,-121,clint-capela,Clint Capela,203991
